"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","rep","scenario"
"C-PCA","Ichino-Yaguchi",10,0.933039250146456,0.0561405975395431,0.926029205800631,0.0678539841994964,0.373333333333333,0.085,2,"I"
"C-PCA","Ichino-Yaguchi",20,0.933338899196042,0.043982683982684,0.921478928357514,0.06204815004298,0.4925,0.102166666666667,2,"I"
"C-PCA","Ichino-Yaguchi",40,0.935384829505915,0.0226395267919276,0.91474199702492,0.0545633839920422,0.605583333333333,0.13,2,"I"
"V-PCA","Ichino-Yaguchi",5,0.929708904109589,0.0719429223744292,0.927937019629074,0.0749395870758176,0.269333333333333,0.0333333333333333,2,"I"
"V-PCA","Ichino-Yaguchi",10,0.933352079671939,0.0555008787346222,0.926148738924165,0.0675209457765562,0.373333333333333,0.0843333333333333,2,"I"
"V-PCA","Ichino-Yaguchi",20,0.933539270253556,0.0437501546072975,0.921555914160396,0.0618682882215332,0.492166666666667,0.103666666666667,2,"I"
"V-PCA","Ichino-Yaguchi",40,0.935523486430063,0.0226134307585247,0.914808502564014,0.0544464582019454,0.60575,0.129666666666667,2,"I"
"MR-PCA","Ichino-Yaguchi",5,0.737157534246575,0.29010502283105,0.741025953359418,0.304003494352437,0.105333333333333,0.014,2,"I"
"MR-PCA","Ichino-Yaguchi",10,0.725088459285296,0.261391915641476,0.732109781430102,0.287364327018628,0.138333333333333,0.0206666666666667,2,"I"
"MR-PCA","Ichino-Yaguchi",20,0.7147377860235,0.227340754483612,0.721880654986701,0.269343806051473,0.211,0.0418333333333333,2,"I"
"MR-PCA","Ichino-Yaguchi",40,0.701065935977731,0.199475643702157,0.708278714005033,0.253288601870025,0.30225,0.0616666666666667,2,"I"
"SPCA","Ichino-Yaguchi",5,0.929287671232877,0.0729132420091324,0.927740072675969,0.075468661564584,0.266666666666667,0.0353333333333333,2,"I"
"SPCA","Ichino-Yaguchi",10,0.933039250146456,0.0561405975395431,0.926029205800631,0.0678539841994964,0.373333333333333,0.085,2,"I"
"SPCA","Ichino-Yaguchi",20,0.933338899196042,0.043982683982684,0.921478928357514,0.06204815004298,0.4925,0.102166666666667,2,"I"
"SPCA","Ichino-Yaguchi",40,0.935384829505915,0.0226395267919276,0.91474199702492,0.0545633839920422,0.605583333333333,0.13,2,"I"
"IMDS","Ichino-Yaguchi",5,0.580907534246575,-0.101477168949772,0.584760481006636,-0.101475420593712,0.0353333333333333,-0.00266666666666667,2,"I"
"IMDS","Ichino-Yaguchi",10,0.579210310486233,-0.0807896895137667,0.580654632756731,-0.0923435781304524,0.0613333333333333,-0.00333333333333333,2,"I"
"IMDS","Ichino-Yaguchi",20,0.572496289424861,-0.0725027829313545,0.573730700054745,-0.0868830030713604,0.0988333333333333,-0.004,2,"I"
"IMDS","Ichino-Yaguchi",40,0.573755915100905,-0.0461221294363257,0.56594583631344,-0.0771377476749919,0.17575,-0.0155,2,"I"
