"Method","Metric","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","rep","dr_input","eval_geom"
"IMDS","Ichino-Yaguchi",0.637345044614404,-0.0307184512428298,0.644963895358766,-0.0411759305746837,0.05375,-0.001375,TRUE,0,4,"raw","std"
"IMDS","Wasserstein",0.628648103887827,-0.0539083811344806,0.635208631770788,-0.0669835758961312,0.05325,-0.00125,TRUE,0,4,"raw","std"
"IMDS","Centers-Euclidean",0.616686982154238,-0.0707637029955385,0.6219963971914,-0.0848144405684894,0.050375,-0.004625,TRUE,0,4,"raw","std"
"Int-UMAP","Int-Euclidean",0.907247689611217,0.0246257170172085,0.943808600577197,0.0172043599035856,0.55875,-0.024625,FALSE,0,4,"raw","std"
"Int-UMAP","Hausdorff",0.907085962396431,0.0241464308476736,0.94327865775777,0.0167481568315159,0.55475,-0.028625,FALSE,0,4,"raw","std"
"Int-UMAP","Ichino-Yaguchi",0.906884400892288,0.0242114404079031,0.943862660725469,0.0161311438451897,0.556,-0.031625,FALSE,0,4,"raw","std"
"Int-UMAP","Wasserstein",0.906911647546208,0.0239370618228171,0.943790193522242,0.0161423172837743,0.556,-0.031375,FALSE,0,4,"raw","std"
"Int-UMAP","Centers-Euclidean",0.906830783938815,0.0241271510516252,0.94387664527641,0.0160059636738391,0.555625,-0.0305,FALSE,0,4,"raw","std"
"C-PCA","Int-Euclidean",0.916756134480561,0.119685309114085,0.919271141206913,0.126731309349496,0.3545,0.0975,FALSE,0,5,"raw","std"
"C-PCA","Hausdorff",0.915716539196941,0.119805289993626,0.917579723956763,0.128159394943277,0.3515,0.08525,FALSE,0,5,"raw","std"
"C-PCA","Ichino-Yaguchi",0.916607233906947,0.118817399617591,0.918807117985984,0.126537611819684,0.352125,0.090375,FALSE,0,5,"raw","std"
"C-PCA","Wasserstein",0.916571462715105,0.118871414913958,0.918747209359237,0.126610830181134,0.352125,0.090125,FALSE,0,5,"raw","std"
"C-PCA","Centers-Euclidean",0.916606915232632,0.11881867431485,0.91872841632944,0.12664968846499,0.352125,0.089875,FALSE,0,5,"raw","std"
"V-PCA","Int-Euclidean",0.916734703632887,0.119732632249841,0.919192751102438,0.126892708035322,0.354375,0.097625,FALSE,0,5,"raw","std"
"V-PCA","Hausdorff",0.915716937539834,0.119810866794136,0.91759212643734,0.128136413233452,0.3515,0.085,FALSE,0,5,"raw","std"
"V-PCA","Ichino-Yaguchi",0.916580146590185,0.118874123645634,0.918808831309119,0.126537469158264,0.35225,0.090375,FALSE,0,5,"raw","std"
"V-PCA","Wasserstein",0.916544136392607,0.118933715742511,0.918773879794383,0.126566616656269,0.352125,0.090125,FALSE,0,5,"raw","std"
"V-PCA","Centers-Euclidean",0.916580385595921,0.118875239005736,0.918739403071353,0.126630277768821,0.35225,0.09,FALSE,0,5,"raw","std"
"MR-PCA","Int-Euclidean",0.916991236456342,0.119244741873805,0.919571291024861,0.126431585596596,0.3505,0.1065,FALSE,0,5,"raw","std"
"MR-PCA","Hausdorff",0.916187061822817,0.118429891650733,0.918333225217728,0.126489673104471,0.348125,0.086375,FALSE,0,5,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.916403123008286,0.118811344805609,0.918880431241802,0.1262550961474,0.3465,0.09125,FALSE,0,5,"raw","std"
"MR-PCA","Wasserstein",0.9164554652645,0.118697100063735,0.918948395867229,0.126089188806269,0.34675,0.09125,FALSE,0,5,"raw","std"
"MR-PCA","Centers-Euclidean",0.916403760356915,0.118814850223072,0.918795719146621,0.126387764443946,0.346625,0.090875,FALSE,0,5,"raw","std"
"SPCA","Int-Euclidean",0.916870697896749,0.118945028680688,0.91939167155426,0.126262244572085,0.3495,0.101875,FALSE,0,5,"raw","std"
"SPCA","Hausdorff",0.915927023581899,0.118913001912046,0.91835181438457,0.126415178040599,0.3475,0.088375,FALSE,0,5,"raw","std"
"SPCA","Ichino-Yaguchi",0.91661201402167,0.118338113448056,0.918910792534726,0.126101624873055,0.3485,0.093125,FALSE,0,5,"raw","std"
"SPCA","Wasserstein",0.916527963671128,0.11849442319949,0.918887833748821,0.126119309557965,0.3485,0.093125,FALSE,0,5,"raw","std"
"SPCA","Centers-Euclidean",0.916569391332059,0.118423996175908,0.918846436667456,0.12619060465582,0.3485,0.092625,FALSE,0,5,"raw","std"
"IMDS","Int-Euclidean",0.572038639260676,-0.064692638623327,0.579285928734799,-0.0779011244620023,0.03975,-0.00225,TRUE,0,5,"raw","std"
"IMDS","Hausdorff",0.602681246016571,-0.00959066284257493,0.609717487206533,-0.0205155751724604,0.052,-0.002875,TRUE,0,5,"raw","std"
"IMDS","Ichino-Yaguchi",0.605178696622052,-0.00756453154875714,0.611884713024932,-0.0140787407444938,0.0515,0,TRUE,0,5,"raw","std"
"IMDS","Wasserstein",0.597501752708732,-0.0289840662842575,0.603775595996336,-0.0371920780134912,0.052125,-0.001125,TRUE,0,5,"raw","std"
"IMDS","Centers-Euclidean",0.593061504142766,-0.0578355640535373,0.597982753449847,-0.0634584488912159,0.047875,-0.000874999999999997,TRUE,0,5,"raw","std"
"Int-UMAP","Int-Euclidean",0.83232361376673,0.00707042702358185,0.895211205327357,0.00542445184321966,0.46925,-0.036875,FALSE,0,5,"raw","std"
"Int-UMAP","Hausdorff",0.830084369024857,0.00401481835564055,0.893840537862981,0.00190817624370478,0.46525,-0.04,FALSE,0,5,"raw","std"
"Int-UMAP","Ichino-Yaguchi",0.832646829190567,0.00748996175908223,0.89662530722318,0.00400094058444013,0.469625,-0.0455,FALSE,0,5,"raw","std"
"Int-UMAP","Wasserstein",0.831679413639261,0.00557520713830462,0.895626470969318,0.00290105451738987,0.46925,-0.04575,FALSE,0,5,"raw","std"
"Int-UMAP","Centers-Euclidean",0.831267208413002,0.00707807520713832,0.895344734177207,0.00352644614324554,0.46775,-0.046625,FALSE,0,5,"raw","std"
"C-PCA","Int-Euclidean",0.92327166985341,0.110432759719567,0.92507392836324,0.11719479348512,0.360875,0.08825,FALSE,0,6,"raw","std"
"C-PCA","Hausdorff",0.922200286806883,0.110192160611855,0.924690139929315,0.115964448134449,0.35825,0.074625,FALSE,0,6,"raw","std"
"C-PCA","Ichino-Yaguchi",0.922786010197578,0.109923836838751,0.925171447786091,0.115841943131277,0.36,0.079875,FALSE,0,6,"raw","std"
"C-PCA","Wasserstein",0.922691124920331,0.110097673677502,0.925143737351327,0.115875446600615,0.35975,0.0785,FALSE,0,6,"raw","std"
"C-PCA","Centers-Euclidean",0.922780991077119,0.109924952198853,0.925135730292551,0.11589138394969,0.359875,0.079875,FALSE,0,6,"raw","std"
"V-PCA","Int-Euclidean",0.923273342893563,0.110436105799873,0.925088621316627,0.117173283171104,0.360875,0.088,FALSE,0,6,"raw","std"
"V-PCA","Hausdorff",0.922212555768005,0.110173677501593,0.924636414576901,0.116079925836533,0.358375,0.074875,FALSE,0,6,"raw","std"
"V-PCA","Ichino-Yaguchi",0.922849665391969,0.109810866794136,0.925097965213132,0.115996700277612,0.36025,0.08025,FALSE,0,6,"raw","std"
"V-PCA","Wasserstein",0.922809034416826,0.109871414913958,0.925099067160646,0.115970731421048,0.36025,0.079,FALSE,0,6,"raw","std"
"V-PCA","Centers-Euclidean",0.922844805608668,0.109812300828553,0.925057038871804,0.11605519743061,0.360125,0.08025,FALSE,0,6,"raw","std"
"MR-PCA","Int-Euclidean",0.920830226258764,0.113568355640535,0.923412089580795,0.119534329455502,0.354,0.09825,FALSE,0,6,"raw","std"
"MR-PCA","Hausdorff",0.920700764818356,0.111224984066284,0.922655166364967,0.118688847297434,0.348125,0.08275,FALSE,0,6,"raw","std"
"MR-PCA","Ichino-Yaguchi",0.92010149776928,0.112942957297642,0.922256047905918,0.120081012494326,0.349625,0.085875,FALSE,0,6,"raw","std"
"MR-PCA","Wasserstein",0.920031708094328,0.113104206500956,0.922375721218517,0.119912997432009,0.35025,0.08775,FALSE,0,6,"raw","std"
"MR-PCA","Centers-Euclidean",0.920159337157425,0.112862332695985,0.922522025835663,0.119621446323225,0.35,0.085625,FALSE,0,6,"raw","std"
"SPCA","Int-Euclidean",0.921073534098152,0.112365997450605,0.92483822194995,0.116110716179946,0.352875,0.093125,FALSE,0,6,"raw","std"
"SPCA","Hausdorff",0.920025095602294,0.112006532823454,0.923822905210038,0.116126487197321,0.34925,0.079625,FALSE,0,6,"raw","std"
