"scenario","rep","Method","Metric","cell_index","Q_TC_u50","B_TC_u50","Q_RE_u50","B_RE_u50","Q_LC_u50","B_LC_u50","Q_TC_u500","B_TC_u500","Q_RE_u500","B_RE_u500","Q_LC_u500","B_LC_u500","Q_TC_pri","B_TC_pri","Q_RE_pri","B_RE_pri","Q_LC_pri","B_LC_pri","d50_500","d50_pri","equivariant"
"S2",7,"IMDS","Int-Euclidean",60,0.589414913957935,-0.0673954748247292,0.595817271981843,-0.0805003238350256,0.04425,-0.006625,NA,NA,NA,NA,NA,NA,0.589414913957935,-0.0673954748247292,0.595817271981843,-0.0805003238350256,0.04425,-0.006625,NA,0,TRUE
"S2",7,"IMDS","Wasserstein",61,0.621873247291268,-0.0379341937539834,0.633142095060358,-0.0541505045565503,0.052875,-0.002375,NA,NA,NA,NA,NA,NA,0.621873247291268,-0.0379341937539834,0.633142095060358,-0.0541505045565503,0.052875,-0.002375,NA,0,TRUE
"S2",8,"IMDS","Centers-Euclidean",62,0.618827517527087,-0.0697901529636711,0.625431979951998,-0.0871394916067318,0.056875,-0.008375,NA,NA,NA,NA,NA,NA,0.618827517527087,-0.0697901529636711,0.625431979951998,-0.0871394916067318,0.056875,-0.008375,NA,0,TRUE
"S2",8,"IMDS","Hausdorff",63,0.630974904397706,-0.0343449649458254,0.642594506366751,-0.0513736816933283,0.05875,-0.0015,NA,NA,NA,NA,NA,NA,0.630974904397706,-0.0343449649458254,0.642594506366751,-0.0513736816933283,0.05875,-0.0015,NA,0,TRUE
"S2",8,"IMDS","Ichino-Yaguchi",64,0.640031389420013,-0.0329359464627151,0.647714080946559,-0.0448410451106925,0.060875,-0.000750000000000001,NA,NA,NA,NA,NA,NA,0.640031389420013,-0.0329359464627151,0.647714080946559,-0.0448410451106925,0.060875,-0.000750000000000001,NA,0,TRUE
"S2",8,"IMDS","Int-Euclidean",65,0.58834839069471,-0.0700689929891651,0.596110653698936,-0.0921479623684338,0.038375,-0.0025,NA,NA,NA,NA,NA,NA,0.58834839069471,-0.0700689929891651,0.596110653698936,-0.0921479623684338,0.038375,-0.0025,NA,0,TRUE
"S2",8,"IMDS","Wasserstein",66,0.629931086679414,-0.0543914913957936,0.636714922798208,-0.0677468198231903,0.060875,-0.000750000000000001,NA,NA,NA,NA,NA,NA,0.629931086679414,-0.0543914913957936,0.636714922798208,-0.0677468198231903,0.060875,-0.000750000000000001,NA,0,TRUE
"S2",9,"IMDS","Centers-Euclidean",67,0.574321701720841,-0.0290905035054174,0.57870688255839,-0.0333676010755093,0.045375,0,NA,NA,NA,NA,NA,NA,0.574321701720841,-0.0290905035054174,0.57870688255839,-0.0333676010755093,0.045375,0,NA,0,TRUE
"S2",9,"IMDS","Hausdorff",68,0.582421081899299,0.00354866475462089,0.588127031336551,-0.00590166781222289,0.048875,-0.000374999999999997,NA,NA,NA,NA,NA,NA,0.582421048438496,0.00354859783301475,0.588127003124136,-0.00590172423705349,0.048875,-0.000374999999999997,NA,6.69216061368466e-08,TRUE
"S2",9,"IMDS","Ichino-Yaguchi",69,0.584985340981517,0.0136845124282983,0.591449821628444,0.00683901466977355,0.048625,0.00275,NA,NA,NA,NA,NA,NA,0.584985340981517,0.0136845124282983,0.591449821628444,0.00683901466977355,0.048625,0.00275,NA,0,TRUE
"S2",9,"IMDS","Int-Euclidean",70,0.560212794773741,-0.0419992033142128,0.564138692340263,-0.0539406075986121,0.033375,0.00025,NA,NA,NA,NA,NA,NA,0.560212794773741,-0.0419992033142128,0.564138692340263,-0.0539406075986121,0.033375,0.00025,NA,0,TRUE
"S2",9,"IMDS","Wasserstein",71,0.57802039515615,-0.00567080943275977,0.585193535996142,-0.0158045620008663,0.048375,0.000499999999999997,NA,NA,NA,NA,NA,NA,0.57802039515615,-0.00567080943275977,0.585193535996142,-0.0158045620008663,0.048375,0.000499999999999997,NA,0,TRUE
"S4",1,"C-PCA","Centers-Euclidean",77,0.887152126537786,0.0907017223198594,0.885670327163243,0.100140911440451,0.278,0.06186,NA,NA,NA,NA,NA,NA,0.887155243116579,0.0906994727592267,0.885680407096088,0.100139066907201,0.278,0.0616666666666667,NA,0.000193333333333337,TRUE
"S4",1,"C-PCA","Hausdorff",78,0.906941558289397,0.071469619214997,0.908390936302886,0.0760718558614323,0.32,0.0521933333333333,NA,NA,NA,NA,NA,NA,0.906944932630346,0.0714715875805507,0.908401632492524,0.0760737386516685,0.32,0.052,NA,0.00019333333333333,TRUE
"S4",1,"C-PCA","Ichino-Yaguchi",79,0.895459683655536,0.0783137668424136,0.894153164898202,0.0878170609577173,0.29994,0.0607866666666667,NA,NA,NA,NA,NA,NA,0.895462214411248,0.0783081429408319,0.894133800123829,0.087853706329735,0.3,0.061,NA,0.000213333333333343,TRUE
"S4",1,"C-PCA","Int-Euclidean",80,0.913537434094903,0.0484543643819566,0.901577784312579,0.0743331169940694,0.324666666666667,0.05548,NA,NA,NA,NA,NA,NA,0.913539543057996,0.0484522554188636,0.901585129546414,0.0743359104602306,0.324666666666667,0.0556666666666667,NA,0.000186666666666654,TRUE
