"scenario","Metric","index","K","tau.mean","tau.q025","tau.q975"
"I","Ichino-Yaguchi","B_TC",20,0.908571428571428,0.714285714285714,1
"II","Ichino-Yaguchi","B_TC",20,0.726643671323172,0.2,1
"III","Ichino-Yaguchi","B_TC",20,0.862857142857143,0.514285714285714,1
"IV","Ichino-Yaguchi","B_TC",20,0.776,0.413333333333333,1
"I","Int-Euclidean","B_TC",20,0.822857142857143,0.571428571428571,1
"II","Int-Euclidean","B_TC",20,0.706666666666667,0.2,1
"III","Int-Euclidean","B_TC",20,0.554285714285714,-0.0857142857142856,1
"IV","Int-Euclidean","B_TC",20,0.706666666666667,0.146666666666667,1
"I","Wasserstein","B_TC",20,0.885714285714286,0.714285714285714,1
"II","Wasserstein","B_TC",20,0.696,0.28,1
"III","Wasserstein","B_TC",20,0.868571428571428,0.657142857142857,1
"IV","Wasserstein","B_TC",20,0.785310337989839,0.333333333333333,1
