"Method","lambda","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC","tie_affected","tie_spread","n_res"
"C-PCA",0.9,0.997999889170069,0.000819648915405979,0.997444296239858,0.000641837932910044,0.817984496124031,0.0355038759689922,FALSE,0,0
"V-PCA",0.9,0.99798240266977,0.00113933169551328,0.997457994207017,0.000755189744926612,0.801395348837209,0.064031007751938,FALSE,0,0
"MR-PCA",0.9,0.926312380319067,-0.0178652923755165,0.917285131592781,-0.0269688713877054,0.191782945736434,-0.0325581395348837,FALSE,0,0
"SPCA",0.9,0.997999889170069,0.000819648915405979,0.997444296239858,0.000641837932910044,0.817984496124031,0.0355038759689922,FALSE,0,0
"IMDS",0.9,0.493353775298471,-0.00988602988713816,0.504716711056894,-0.00405987410956271,0.0145736434108527,-0.00062015503875969,TRUE,0,50
"Int-UMAP",0.9,0.717858150002155,0.206131111808929,0.714513316948288,0.200041767593543,0.0727131782945736,0.0237209302325581,FALSE,0,0
"C-PCA",0.95,0.997998042004544,0.000819895204142607,0.997439853487158,0.000641342358454019,0.817829457364341,0.0353488372093023,FALSE,0,0
"V-PCA",0.95,0.997983757257821,0.00114598149140144,0.997456453752599,0.000758029439140478,0.801395348837209,0.0638759689922481,FALSE,0,0
"MR-PCA",0.95,0.926492786818627,-0.0168281705056924,0.917829725855276,-0.0267414592367975,0.192558139534884,-0.0337984496124031,FALSE,0,0
"SPCA",0.95,0.997998042004544,0.000819895204142607,0.997439853487158,0.000641342358454019,0.817829457364341,0.0353488372093023,FALSE,0,0
"IMDS",0.95,0.493171398489019,-0.00907007530278126,0.504465535322107,-0.00294087684676708,0.0144186046511628,-0.000465116279069768,TRUE,0,50
"Int-UMAP",0.95,0.720563878062446,0.200890580071547,0.71803559021194,0.193072165857912,0.0727131782945736,0.0237209302325581,FALSE,0,0
"C-PCA",1,0.997992500507971,0.000805856746156408,0.997435449184201,0.000635154907619778,0.817674418604651,0.0351937984496124,FALSE,0,0
"V-PCA",1,0.997985973856451,0.00115386273097262,0.997457140589876,0.000763737089771936,0.801550387596899,0.0646511627906977,FALSE,0,0
"MR-PCA",1,0.926420624218803,-0.0154021587207763,0.918420491192697,-0.0266096715949345,0.195038759689922,-0.0336434108527132,FALSE,0,0
"SPCA",1,0.997992500507971,0.000805856746156408,0.997435449184201,0.000635154907619778,0.817674418604651,0.0351937984496124,FALSE,0,0
"IMDS",1,0.492953735892273,-0.00743361964398964,0.504447382755127,-0.00159272178190098,0.0141085271317829,-0.000310077519379845,TRUE,2.46288736627243e-07,50
"Int-UMAP",1,0.722967779276034,0.19607637413722,0.721186467063078,0.186773413207316,0.0727131782945736,0.0237209302325581,FALSE,0,0
"C-PCA",NA,0.995728737585508,0.00454870667627194,0.993197699829941,0.00577609018682161,0.761705426356589,0.174108527131783,FALSE,0,0
