"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"V-PCA","Int-Euclidean",15,0.960998877665544,0.00168350168350162,0.927986757581826,0.00869751751666278,0.925925925925926,0.0246913580246914
"V-PCA","Int-Euclidean",16,0.96026936026936,0.00808080808080813,0.925934876261286,0.00844426183070431,0.946759259259259,0.0162037037037037
"V-PCA","Int-Euclidean",17,0.948148148148148,0.00823045267489719,0.924875903785729,0.00846585120583261,0.93681917211329,0.0130718954248366
"V-PCA","Int-Euclidean",18,0.956275720164609,0.00102880658436222,0.924162318698906,0.00850337956833588,0.95679012345679,0.0164609053497942
"V-PCA","Int-Euclidean",19,0.961640211640212,0,0.923574555269462,0.00837405142089363,0.970760233918129,0.0155945419103314
"V-PCA","Int-Euclidean",20,0.962081128747795,-0.00881834215167543,0.923482795308466,0.00812714477354479,0.97962962962963,0.0148148148148148
"V-PCA","Int-Euclidean",21,0.933333333333333,0.0246913580246914,0.92324031500373,0.00825879559284536,0.975308641975309,0.0105820105820106
"V-PCA","Int-Euclidean",22,0.907407407407407,0.0370370370370371,0.923446139277353,0.00806791302316839,0.976430976430976,0.0134680134680135
"V-PCA","Int-Euclidean",23,0.861111111111111,0.0555555555555555,0.923689499361485,0.00811749023822174,0.975845410628019,0.0177133655394525
"V-PCA","Int-Euclidean",24,0.833333333333333,0.0617283950617284,0.923976369061222,0.00795081243537818,0.986111111111111,0.0231481481481481
"V-PCA","Int-Euclidean",25,0.555555555555556,0,0.924664426267281,0.00789255545308148,0.982222222222222,0.0296296296296296
"MR-PCA","Int-Euclidean",1,0.951851851851852,0.00740740740740742,0.953703703703704,0.00712250712250712,0.444444444444444,0
"MR-PCA","Int-Euclidean",2,0.968085106382979,0.00709219858156029,0.95224171539961,0.00682261208576998,0.796296296296296,0
"MR-PCA","Int-Euclidean",3,0.962401795735129,0.00897867564534227,0.948937908496732,0.00762527233115468,0.703703703703704,0
"MR-PCA","Int-Euclidean",4,0.970867208672087,0.00406504065040647,0.948675496688742,0.00649987736080452,0.731481481481482,0.0277777777777778
"MR-PCA","Int-Euclidean",5,0.981676413255361,0.00467836257309939,0.947706359016619,0.00661539165865496,0.837037037037037,0.0148148148148148
"MR-PCA","Int-Euclidean",6,0.984832451499118,0.00352733686067019,0.945644112899708,0.00684901627186668,0.851851851851852,0.0308641975308642
"MR-PCA","Int-Euclidean",7,0.986772486772487,0.000661375661375696,0.943255623574167,0.00571235952350856,0.867724867724868,0.0264550264550265
"MR-PCA","Int-Euclidean",8,0.983876117496807,-0.00223499361430401,0.938470787957754,0.00518462761945845,0.921296296296296,0.0324074074074074
"MR-PCA","Int-Euclidean",9,0.97894903450459,0.00474833808167141,0.93639424568359,0.00623342659102326,0.91358024691358,0.0288065843621399
"MR-PCA","Int-Euclidean",10,0.976650563607085,0.00547504025764889,0.93473617024504,0.0058543774275722,0.907407407407407,0.0222222222222222
"MR-PCA","Int-Euclidean",11,0.971717171717172,0.00673400673400681,0.932371858372165,0.00499598076336705,0.902356902356902,0
"MR-PCA","Int-Euclidean",12,0.969862018881627,0.00363108206245455,0.930301016058954,0.00521488351349741,0.904320987654321,0.00308641975308643
"MR-PCA","Int-Euclidean",13,0.961334961334961,0,0.927850031519829,0.00493101226148789,0.897435897435897,0.00569800569800571
"MR-PCA","Int-Euclidean",14,0.961538461538462,0.00189933523266861,0.925709920163612,0.00535064193917767,0.917989417989418,0.00264550264550267
"MR-PCA","Int-Euclidean",15,0.94949494949495,0,0.92275962621506,0.00584742569783568,0.918518518518519,0.00493827160493826
"MR-PCA","Int-Euclidean",16,0.946127946127946,0.0107744107744108,0.920764843498829,0.00560540374629813,0.935185185185185,0
"MR-PCA","Int-Euclidean",17,0.937448559670782,0.00823045267489708,0.919905274593576,0.00536943214736478,0.928104575163399,0.00435729847494554
"MR-PCA","Int-Euclidean",18,0.941872427983539,0.00308641975308643,0.918937746554986,0.00523616122149408,0.946502057613169,0.00617283950617281
"MR-PCA","Int-Euclidean",19,0.948412698412698,0.00264550264550267,0.918121505802763,0.00525380982978059,0.961013645224172,0.00389863547758285
