"Method","Metric","K","Q_TC","B_TC","Q_RE","B_RE","Q_LC","B_LC"
"C-PCA","Hausdorff",19,0.995498259390548,0.00335590562028742,0.993384478588311,0.0030321419624412,0.794206446348429,0.109098327213382
"C-PCA","Hausdorff",20,0.995475618294321,0.00343330747251491,0.993269116478049,0.00306251068507949,0.79906976744186,0.109612403100775
"C-PCA","Hausdorff",21,0.995509078854426,0.00339668930283132,0.993170251012608,0.00307367974317873,0.804429678848284,0.113399778516058
"C-PCA","Hausdorff",22,0.995478948529967,0.00331881825730351,0.993062293974773,0.00306688991464002,0.806483439041579,0.11508104298802
"C-PCA","Hausdorff",23,0.995472271489112,0.00340157027852828,0.992961464342448,0.00310210197435583,0.809437141894169,0.116413886080216
"C-PCA","Hausdorff",24,0.995457387696691,0.00345694818664954,0.992859330664428,0.00312545588996453,0.81233850129199,0.116925064599483
"C-PCA","Hausdorff",25,0.995496417761772,0.00339246261318216,0.99277342486437,0.00312061587525981,0.816124031007752,0.118139534883721
"V-PCA","Hausdorff",1,0.997477907579539,0.000978938358228709,0.997481823872117,0.000977418267610381,0.541085271317829,0
"V-PCA","Hausdorff",2,0.997188034342958,0.00159026506431748,0.996953849861429,0.00140739848174479,0.62015503875969,0.0232558139534884
"V-PCA","Hausdorff",3,0.996851986434109,0.00191295219638243,0.996500553709856,0.00162801662226023,0.654263565891473,0.0310077519379845
"V-PCA","Hausdorff",4,0.99648006167556,0.00218960378309141,0.996084532532161,0.00181171491951099,0.672868217054264,0.0403100775193798
"V-PCA","Hausdorff",5,0.99616565051781,0.00240662991493557,0.995722861911583,0.00195157433075135,0.685271317829457,0.0431007751937985
"V-PCA","Hausdorff",6,0.99599981296137,0.00241523795583043,0.995441884812792,0.00200223439276979,0.695607235142119,0.0496124031007752
"V-PCA","Hausdorff",7,0.995744993030592,0.00263754537102057,0.995150068884854,0.00213035337749138,0.698781838316722,0.0564784053156146
"V-PCA","Hausdorff",8,0.995748690136961,0.00239911756595279,0.994958888807517,0.00209407535826783,0.706201550387597,0.0656976744186047
"V-PCA","Hausdorff",9,0.995658969329408,0.00244065242406744,0.994744827577437,0.0021213761646533,0.71541774332472,0.062015503875969
"V-PCA","Hausdorff",10,0.99540191243204,0.00275375436392855,0.994489292563422,0.00224315139188051,0.72108527131783,0.0609302325581395
"V-PCA","Hausdorff",11,0.995332902420741,0.00280048298119695,0.994293565419778,0.00228656907480085,0.730796335447498,0.0639887244538407
"V-PCA","Hausdorff",12,0.995254799334311,0.00278731561049339,0.994108173501577,0.00231133365491736,0.738501291989664,0.0651162790697674
"V-PCA","Hausdorff",13,0.995194752534287,0.00272734645199757,0.993941641094593,0.00232007653841987,0.742158616577221,0.0684555754323196
"V-PCA","Hausdorff",14,0.995093606715919,0.00272601086461333,0.993759133928906,0.00234220849848881,0.749501661129568,0.069656699889258
"V-PCA","Hausdorff",15,0.994961572654686,0.00287361765414551,0.993580352256212,0.00240355150291701,0.754005167958656,0.0715245478036176
"V-PCA","Hausdorff",16,0.994885110782127,0.00305252078531326,0.993418694056126,0.00246952379600123,0.758236434108527,0.0714147286821706
"V-PCA","Hausdorff",17,0.994864921209871,0.00301252258802609,0.993275073021274,0.00248370335711824,0.76452348381213,0.0753305973552212
"V-PCA","Hausdorff",18,0.994796611883515,0.00306060320748203,0.993122912051106,0.00250637341768294,0.769767441860465,0.074504737295435
"V-PCA","Hausdorff",19,0.994711077376316,0.00306620144441438,0.992973854813439,0.00253696993867738,0.77437780497756,0.0784169726642187
"V-PCA","Hausdorff",20,0.994691972423537,0.00302230968645345,0.99284257574882,0.00254163217109272,0.779612403100775,0.0801550387596899
"V-PCA","Hausdorff",21,0.994662706692753,0.0030097246987113,0.992716902907937,0.00255468208255125,0.782724252491694,0.0821705426356589
"V-PCA","Hausdorff",22,0.994580154739123,0.00302402219152864,0.992584178934023,0.00256453027862179,0.784214235377026,0.0816067653276956
"V-PCA","Hausdorff",23,0.994586351505909,0.00306187737240793,0.992470047160902,0.00258927122220787,0.788945062352545,0.0821705426356589
"V-PCA","Hausdorff",24,0.994566052838874,0.00304971134594112,0.992351584282011,0.00259306117786792,0.791860465116279,0.0817183462532299
